gene_id	gmm	hdbscan	spectral	consensus	gene_symbol	gene_label	eligible_meta	significant_fdr05_abs_log2fc1	meta_log2_fold_change	consistent_direction
ENSMUSG00000029422	14	0	21	1	Rsrc2	Rsrc2	True	False	0.0454227546843336	mixed
ENSMUSG00000076126	2	0	3	0	NA	ENSMUSG00000076126	False	False	NA	NA
ENSMUSG00000049036	2	0	3	0	NA	ENSMUSG00000049036	False	False	NA	NA
ENSMUSG00000029577	13	0	11	5	Ube3b	Ube3b	True	False	0.0805450685037767	mixed
ENSMUSG00000040746	13	0	11	5	Rnf167	Rnf167	True	False	-0.038058717559368	mixed
ENSMUSG00000020590	7	0	0	10	Snx13	Snx13	True	False	0.0011838366310632	mixed
ENSMUSG00000030263	12	1	5	6	Irag2	Irag2	True	False	-0.122625977825619	mixed
ENSMUSG00000038914	1	0	21	5	Dido1	Dido1	True	False	0.0395961762260206	mixed
ENSMUSG00000026878	7	0	0	10	Rab14	Rab14	True	False	0.0302064915619035	mixed
ENSMUSG00000093241	2	0	3	0	NA	ENSMUSG00000093241	False	False	NA	NA
ENSMUSG00000030098	0	0	8	14	Grip2	Grip2	True	False	0.152526407625726	mixed
ENSMUSG00000078908	11	0	6	2	Mon1b	Mon1b	True	False	0.0431349639950973	mixed
ENSMUSG00000025056	2	0	3	0	NA	ENSMUSG00000025056	False	False	NA	NA
ENSMUSG00000090129	10	0	24	4	Olfr287	Olfr287	True	False	0.108350471725729	mixed
ENSMUSG00000026407	8	0	12	15	Cacna1s	Cacna1s	True	False	0.322719512814924	mixed
ENSMUSG00000034239	2	0	3	0	NA	ENSMUSG00000034239	False	False	NA	NA
ENSMUSG00000020818	11	0	6	2	Mfsd11	Mfsd11	True	False	-0.0186896643017523	mixed
ENSMUSG00000060038	15	0	2	2	Dhps	Dhps	True	False	0.0129664446787864	mixed
ENSMUSG00000020029	17	0	14	11	Nudt4	Nudt4	True	False	0.140004771068831	mixed
ENSMUSG00000085958	16	0	22	7	A930019D19Rik	A930019D19Rik	True	False	-0.113798221765447	mixed
ENSMUSG00000024292	17	0	8	11	Cyp4f14	Cyp4f14	True	False	-0.0274830705954998	mixed
ENSMUSG00000111356	4	0	4	3	NA	ENSMUSG00000111356	False	False	NA	NA
ENSMUSG00000016831	14	0	21	1	Tox4	Tox4	True	False	0.0153939766706731	mixed
ENSMUSG00000024791	4	0	10	3	Cdca5	Cdca5	True	False	0.045487335926737	mixed
